algorithm,ratio,minsup_pct,wall_sec_mean,mining_sec_mean,patterns,maxrss_kb_mean,n_runs,status
BIDE+,0.01,1.0000,3284.747,3284.431,37265723,10187706,3,OK
ClaSP,0.01,1.0000,N/A,N/A,0,N/A,0,ERROR
CloSpan,0.01,1.0000,N/A,N/A,0,N/A,0,ERROR
TriBack-Clo,0.01,1.0000,298.873,295.757,37265723,17122180,3,OK
BIDE+,0.02,2.0000,1113.070,1112.753,9803615,10182724,3,OK
ClaSP,0.02,2.0000,N/A,N/A,0,N/A,0,ERROR
CloSpan,0.02,2.0000,709.367,708.969,9803615,25693574,3,OK
TriBack-Clo,0.02,2.0000,91.823,90.650,9803615,4964728,3,OK
BIDE+,0.05,5.0000,162.097,161.782,896644,10184137,3,OK
ClaSP,0.05,5.0000,45.627,45.235,896644,16992260,3,OK
CloSpan,0.05,5.0000,87.887,87.540,896644,10816814,3,OK
TriBack-Clo,0.05,5.0000,14.820,14.360,896644,1364821,3,OK
BIDE+,0.1,10.0000,32.097,31.779,109743,10170298,3,OK
ClaSP,0.1,10.0000,10.293,9.921,109743,5700509,3,OK
CloSpan,0.1,10.0000,19.730,19.377,109743,10271790,3,OK
TriBack-Clo,0.1,10.0000,3.450,3.094,109743,819905,3,OK
BIDE+,0.2,20.0000,4.470,4.176,9717,1991696,3,OK
ClaSP,0.2,20.0000,2.183,1.826,9717,1224170,3,OK
CloSpan,0.2,20.0000,3.650,3.324,9717,1239608,3,OK
TriBack-Clo,0.2,20.0000,0.880,0.551,9717,478146,3,OK
