algorithm,ratio,minsup_pct,wall_sec_mean,mining_sec_mean,patterns,maxrss_kb_mean,n_runs,status
BIDE+,0.001,0.1000,6069.860,6069.537,529948,12140049,3,OK
ClaSP,0.001,0.1000,N/A,N/A,0,N/A,0,ERROR
CloSpan,0.001,0.1000,N/A,N/A,0,N/A,0,ERROR
TriBack-Clo,0.001,0.1000,659.430,656.057,529948,16292254,3,OK
BIDE+,0.002,0.2000,322.753,322.440,35864,12593402,3,OK
ClaSP,0.002,0.2000,928.183,905.294,35864,56462874,3,OK
CloSpan,0.002,0.2000,1975.150,1967.243,35864,57337474,3,OK
TriBack-Clo,0.002,0.2000,68.083,64.825,35864,3443652,3,OK
BIDE+,0.005,0.5000,19.360,19.048,1618,8740984,3,OK
ClaSP,0.005,0.5000,171.150,147.084,1618,46113125,3,OK
CloSpan,0.005,0.5000,149.000,141.036,1618,30047436,3,OK
TriBack-Clo,0.005,0.5000,11.280,8.022,1618,2267890,3,OK
BIDE+,0.01,1.0000,6.680,6.382,383,1481748,3,OK
ClaSP,0.01,1.0000,65.083,39.070,383,24380906,3,OK
CloSpan,0.01,1.0000,53.717,46.014,383,19530066,3,OK
TriBack-Clo,0.01,1.0000,7.057,3.811,383,1775885,3,OK
BIDE+,0.02,2.0000,4.047,3.752,121,1413650,3,OK
ClaSP,0.02,2.0000,42.163,14.489,121,23335938,3,OK
CloSpan,0.02,2.0000,26.733,18.916,121,19358528,3,OK
TriBack-Clo,0.02,2.0000,5.690,2.453,121,1757649,3,OK
BIDE+,0.05,5.0000,2.977,2.684,33,1230792,3,OK
ClaSP,0.05,5.0000,36.833,5.158,33,22987248,3,OK
CloSpan,0.05,5.0000,14.687,6.868,33,18878896,3,OK
TriBack-Clo,0.05,5.0000,4.927,1.629,33,1757177,3,OK
BIDE+,0.1,10.0000,2.510,2.216,9,1228040,3,OK
ClaSP,0.1,10.0000,39.177,1.483,9,21558045,3,OK
CloSpan,0.1,10.0000,10.850,2.857,9,18149145,3,OK
TriBack-Clo,0.1,10.0000,4.350,1.088,9,1745565,3,OK
